case_id,case_title,crime_category,opening_date,region,priority_level,status,primary_persons_of_interest,description,synthetic_data
CASE-001,Cross-Regional Financial Flow Review,Property Damage,2026-05-31,Synthetic Demonstration Region,CRITICAL,OPEN,P008|P012|P007|P003,"Prototype investigation case examining suspicious-pattern indicators among P008 , P012 , P007 , P003; findings are investigative leads only, not conclusions of guilt.",True
CASE-002,Suspected Communication Network Analysis,Unlawful Assembly,2026-06-05,Synthetic Demonstration Region,MEDIUM,ACTIVE_ANALYSIS,P001|P013|P006,"Prototype investigation case examining suspicious-pattern indicators among P001 , P013 , P006; findings are investigative leads only, not conclusions of guilt.",True
CASE-003,Vehicle-Linked Pattern Investigation,Financial Fraud,2026-08-06,Synthetic Demonstration Region,LOW,ACTIVE_ANALYSIS,P007|P014|P010|P006,"Prototype investigation case examining suspicious-pattern indicators among P007 , P014 , P010 , P006; findings are investigative leads only, not conclusions of guilt.",True
CASE-004,Organization Front Assessment,Financial Fraud,2026-01-05,Synthetic Demonstration Region,HIGH,OPEN,P003|P011|P006|P004,"Prototype investigation case examining suspicious-pattern indicators among P003 , P011 , P006 , P004; findings are investigative leads only, not conclusions of guilt.",True
CASE-005,Multi-Source Alert Correlation Study,Suspicious Activity,2026-07-16,Synthetic Demonstration Region,LOW,UNDER_REVIEW,P003|P002|P006|P007,"Prototype investigation case examining suspicious-pattern indicators among P003 , P002 , P006 , P007; findings are investigative leads only, not conclusions of guilt.",True
CASE-006,Co-Location Pattern Inquiry,Financial Fraud,2026-01-19,Synthetic Demonstration Region,LOW,OPEN,P007|P015,"Prototype investigation case examining suspicious-pattern indicators among P007 , P015; findings are investigative leads only, not conclusions of guilt.",True
CASE-007,Repeated High-Value Transfer Review,Unlawful Assembly,2026-07-30,Synthetic Demonstration Region,LOW,OPEN,P010|P005|P011|P015,"Prototype investigation case examining suspicious-pattern indicators among P010 , P005 , P011 , P015; findings are investigative leads only, not conclusions of guilt.",True
CASE-008,Alias Resolution Case File,Financial Fraud,2026-04-02,Synthetic Demonstration Region,LOW,ACTIVE_ANALYSIS,P002|P009|P001,"Prototype investigation case examining suspicious-pattern indicators among P002 , P009 , P001; findings are investigative leads only, not conclusions of guilt.",True
CASE-009,Regional Intelligence Consolidation,Vehicle-related Offence,2026-03-06,Synthetic Demonstration Region,LOW,OPEN,P005|P006,"Prototype investigation case examining suspicious-pattern indicators among P005 , P006; findings are investigative leads only, not conclusions of guilt.",True
CASE-010,Network Bridge Connector Review,Financial Fraud,2026-08-18,Synthetic Demonstration Region,MEDIUM,CLOSED,P015|P009|P005|P002,"Prototype investigation case examining suspicious-pattern indicators among P015 , P009 , P005 , P002; findings are investigative leads only, not conclusions of guilt.",True
