alert_id,alert_timestamp,case_id,alert_type,person_id,related_person_id,severity,explanation,supporting_sources,confidence_score,analyst_status,synthetic_data
SYN-ALT-0001,2026-07-23T06:54:24,CASE-004,UNUSUAL_TRANSACTION,P004,P005,MEDIUM,"Analytical pattern indicator (unusual transaction) detected involving P004 and P005; flagged as an investigative lead, not a conclusion.",TRANSACTIONS,0.38,DISMISSED,True
SYN-ALT-0002,2026-03-31T13:34:09,CASE-006,VEHICLE_PERSON_LINK,P014,P008,CRITICAL,"Analytical pattern indicator (vehicle person link) detected involving P014 and P008; flagged as an investigative lead, not a conclusion.",CDR|TRANSACTIONS|LOCATION_RECORDS,0.62,DISMISSED,True
SYN-ALT-0003,2026-04-17T11:15:09,CASE-006,CIRCULAR_TRANSACTION,P001,P013,HIGH,"Analytical pattern indicator (circular transaction) detected involving P001 and P013; flagged as an investigative lead, not a conclusion.",CDR,0.37,UNDER_REVIEW,True
SYN-ALT-0004,2026-02-19T03:42:33,CASE-002,MULTI_SOURCE_MATCH,P009,P003,HIGH,"Analytical pattern indicator (multi source match) detected involving P009 and P003; flagged as an investigative lead, not a conclusion.",FIR|TRANSACTIONS|INTEL_REPORT,0.43,CONFIRMED_PATTERN,True
SYN-ALT-0005,2026-01-08T18:09:57,CASE-006,RAPID_CONTACT_SPIKE,P002,P009,CRITICAL,"Analytical pattern indicator (rapid contact spike) detected involving P002 and P009; flagged as an investigative lead, not a conclusion.",TRANSACTIONS|LOCATION_RECORDS,0.85,UNDER_REVIEW,True
SYN-ALT-0006,2026-02-08T19:50:28,CASE-002,CIRCULAR_TRANSACTION,P009,P010,HIGH,"Analytical pattern indicator (circular transaction) detected involving P009 and P010; flagged as an investigative lead, not a conclusion.",INTEL_REPORT|TRANSACTIONS|LOCATION_RECORDS,0.89,NEW,True
SYN-ALT-0007,2026-02-10T11:47:31,CASE-006,CIRCULAR_TRANSACTION,P013,P009,LOW,"Analytical pattern indicator (circular transaction) detected involving P013 and P009; flagged as an investigative lead, not a conclusion.",CDR|INTEL_REPORT,0.48,DISMISSED,True
SYN-ALT-0008,2026-03-14T20:06:48,CASE-006,RAPID_CONTACT_SPIKE,P008,P005,CRITICAL,"Analytical pattern indicator (rapid contact spike) detected involving P008 and P005; flagged as an investigative lead, not a conclusion.",FIR|CDR,0.41,UNDER_REVIEW,True
SYN-ALT-0009,2026-02-02T00:29:05,CASE-007,VEHICLE_PERSON_LINK,P011,P010,LOW,"Analytical pattern indicator (vehicle person link) detected involving P011 and P010; flagged as an investigative lead, not a conclusion.",CDR,0.68,NEW,True
SYN-ALT-0010,2026-06-09T10:04:19,CASE-008,MULTI_SOURCE_MATCH,P015,P008,HIGH,"Analytical pattern indicator (multi source match) detected involving P015 and P008; flagged as an investigative lead, not a conclusion.",LOCATION_RECORDS|FIR|CDR,0.63,CONFIRMED_PATTERN,True
SYN-ALT-0011,2026-01-11T19:59:20,CASE-004,TRANSACTION_CHAIN,P008,P004,HIGH,"Analytical pattern indicator (transaction chain) detected involving P008 and P004; flagged as an investigative lead, not a conclusion.",TRANSACTIONS,0.38,DISMISSED,True
SYN-ALT-0012,2026-07-13T13:24:49,CASE-007,VEHICLE_PERSON_LINK,P015,P001,LOW,"Analytical pattern indicator (vehicle person link) detected involving P015 and P001; flagged as an investigative lead, not a conclusion.",CDR|FIR,0.55,UNDER_REVIEW,True
SYN-ALT-0013,2026-06-06T21:12:38,CASE-003,RAPID_CONTACT_SPIKE,P013,P008,MEDIUM,"Analytical pattern indicator (rapid contact spike) detected involving P013 and P008; flagged as an investigative lead, not a conclusion.",FIR,0.61,DISMISSED,True
SYN-ALT-0014,2026-05-22T08:16:28,CASE-004,FREQUENT_CO_LOCATION,P005,P002,LOW,"Analytical pattern indicator (frequent co location) detected involving P005 and P002; flagged as an investigative lead, not a conclusion.",INTEL_REPORT,0.85,UNDER_REVIEW,True
SYN-ALT-0015,2026-03-31T20:08:50,CASE-001,MULTI_SOURCE_MATCH,P004,P003,HIGH,"Analytical pattern indicator (multi source match) detected involving P004 and P003; flagged as an investigative lead, not a conclusion.",LOCATION_RECORDS,0.44,NEW,True
SYN-ALT-0016,2026-06-08T10:30:28,CASE-002,NEW_NETWORK_CONNECTION,P003,P001,HIGH,"Analytical pattern indicator (new network connection) detected involving P003 and P001; flagged as an investigative lead, not a conclusion.",INTEL_REPORT|TRANSACTIONS,0.77,UNDER_REVIEW,True
SYN-ALT-0017,2026-01-17T11:32:26,CASE-010,TRANSACTION_CHAIN,P009,P012,HIGH,"Analytical pattern indicator (transaction chain) detected involving P009 and P012; flagged as an investigative lead, not a conclusion.",INTEL_REPORT|TRANSACTIONS,0.64,UNDER_REVIEW,True
SYN-ALT-0018,2026-05-10T19:44:51,CASE-004,VEHICLE_PERSON_LINK,P015,P002,MEDIUM,"Analytical pattern indicator (vehicle person link) detected involving P015 and P002; flagged as an investigative lead, not a conclusion.",CDR|FIR,0.87,NEW,True
SYN-ALT-0019,2026-05-09T00:46:22,CASE-008,FREQUENT_CO_LOCATION,P010,P001,CRITICAL,"Analytical pattern indicator (frequent co location) detected involving P010 and P001; flagged as an investigative lead, not a conclusion.",INTEL_REPORT|CDR|FIR,0.69,NEW,True
SYN-ALT-0020,2026-02-27T05:56:59,CASE-009,NEW_NETWORK_CONNECTION,P004,P010,CRITICAL,"Analytical pattern indicator (new network connection) detected involving P004 and P010; flagged as an investigative lead, not a conclusion.",FIR|INTEL_REPORT,0.46,CONFIRMED_PATTERN,True
SYN-ALT-0021,2026-07-12T12:38:41,CASE-001,CROSS_CASE_CONNECTION,P002,P009,CRITICAL,"Analytical pattern indicator (cross case connection) detected involving P002 and P009; flagged as an investigative lead, not a conclusion.",CDR|INTEL_REPORT,0.41,NEW,True
SYN-ALT-0022,2026-01-20T22:44:17,CASE-010,VEHICLE_PERSON_LINK,P001,P005,HIGH,"Analytical pattern indicator (vehicle person link) detected involving P001 and P005; flagged as an investigative lead, not a conclusion.",TRANSACTIONS,0.84,CONFIRMED_PATTERN,True
SYN-ALT-0023,2026-06-22T13:27:44,CASE-004,HIGH_COMMUNICATION_CENTRALITY,P015,P004,CRITICAL,"Analytical pattern indicator (high communication centrality) detected involving P015 and P004; flagged as an investigative lead, not a conclusion.",LOCATION_RECORDS|INTEL_REPORT,0.37,UNDER_REVIEW,True
